91-Pa-234m		1001.025
63-Eu-154		1004.725
27-Co-56		1037.8333
31-Ga-66		1039.220
44-Ru-106/45-Rh-106		1050.41
83-Bi-207		1063.656
31-Ga-68		1077.34
63-Eu-152		1085.837
79-Au-198		1087.6842
63-Eu-152		1089.737
26-Fe-59		1099.245
63-Eu-152		1112.076
30-Zn-65		1115.539
83-Bi-214		1120.287
21-Sc-46		1120.537
44-Ru-106/45-Rh-106		1128.07
83-Bi-214		1155.19
27-Co-60		1173.228
27-Co-56		1175.0878
63-Eu-152		1212.948
83-Bi-214		1238.110
27-Co-56		1238.2736
63-Eu-154		1246.121
63-Eu-154		1274.429
11-Na-22		1274.537
83-Bi-214		1280.96
26-Fe-59		1291.590
63-Eu-152		1299.142
27-Co-60		1332.492
31-Ga-66		1333.112
29-Cu-64		1345.77
27-Co-56		1360.196
55-Cs-134		1365.186
11-Na-24		1368.626
83-Bi-214		1377.669
67-Ho-166		1379.437
47-Ag-110m		1384.2931
83-Bi-214		1401.516
83-Bi-214		1407.993
63-Eu-152		1408.013
31-Ga-66		1418.754
19-K-40		    1460.822
47-Ag-110m		1475.7792
59-Pr-144		1489.148
47-Ag-110m		1505.0280
31-Ga-66		1508.158
83-Bi-214		1509.217
47-Ag-110m		1562.294
67-Ho-166		1581.833
63-Eu-154		1596.4804
83-Bi-212		1620.74
83-Bi-214		1661.316
67-Ho-166		1662.439
83-Bi-214		1729.640
83-Bi-214		1764.539
83-Bi-207		1770.228
27-Co-56		1771.327
25-Mn-56		1810.726
39-Y-88 		1836.052
83-Bi-214		1847.420
31-Ga-66		1898.823
31-Ga-66		1918.329
27-Co-56		2015.176
27-Co-56		2034.752
25-Mn-56		2113.092
83-Bi-214		2118.536
59-Pr-144		2185.645
31-Ga-66		2189.616
83-Bi-214		2204.071
31-Ga-66		2422.525
83-Bi-214		2447.673
25-Mn-56		2523.06
27-Co-56		2598.438
81-Tl-208		2614.511
31-Ga-66		2751.835
11-Na-24		2754.007
