Ba	Ba	131	486.5
Ba	Ba	131	496.3
Ba	Ba	131	585
Ba	Ba	131	620.1
Ba	Ba	131	1047.6
Ba	Ba	133	275.9
Ba	Ba	139	165.9
La	La	140	328.8
La	La	140	487
La	La	140	815.8
La	La	140	1596.2
Ce	Ce	141	145.4
Ce	Ce	143	231.6
Ce	Ce	143	293.3
Ce	Ce	143	350.6
Ce	Ce	143	664.6
Ce	Ce	143	721.9
Pr	Pr	142	1575.6
Nd	Nd	147	91.1
Nd	Nd	147	120.5
Nd	Nd	147	275.4
Nd	Nd	147	319.4
Nd	Nd	147	398.2
Nd	Nd	147	439.9
Nd	Nd	147	531
Nd	Nd	147	685.9
Nd	Nd	149	97
Nd	Nd	149	114.3
Nd	Nd	149	155.9
Nd	Nd	149	198.9
Nd	Nd	149	208.1
Nd	Nd	149	211.3
Nd	Nd	149	240.2
Nd	Nd	149	267.7
Nd	Nd	149	270.2
Nd	Nd	149	326.6
Nd	Nd	149	349.1
Nd	Nd	149	423.7
Nd	Nd	149	540.5
Nd	Nd	149	654.8
Nd	Pm	149	286
Nd	Nd	151	255.7
Nd	Nd	151	1180.9
Nd	Pm	151	340.1
Sm	Sm	153	69.7
Sm	Sm	153	103.2
Sm	Sm	155	141.4
Sm	Sm	155	245.7
Eu	Eu	152	121.8
Eu	Eu	152	244.7
Eu	Eu	152	344.3
Eu	Eu	152	444
Eu	Eu	152	778.9
Eu	Eu	152	867.4
Eu	Eu	152	964.1
Eu	Eu	152	1085.9
Eu	Eu	152	1112.1
Eu	Eu	152	1408
Eu	Eu	152	121.8
Eu	Eu	152	344.2
Eu	Eu	152	841.6
Eu	Eu	152	963.3
Eu	Eu	154	248
Eu	Eu	154	591.8
Eu	Eu	154	723.3
Eu	Eu	154	756.9
Eu	Eu	154	873.2
Eu	Eu	154	996.4
Eu	Eu	154	1274.4
Gd	Gd	153	97.4
Gd	Gd	153	103.2
Gd	Gd	159	363.5
Gd	Gd	161	102.3
Gd	Gd	161	165.2
Gd	Gd	161	283.6
Gd	Gd	161	314.9
Gd	Gd	161	360.9
Gd	Gd	161	480.1
Tb	Tb	160	86.8
Tb	Tb	160	197
Tb	Tb	160	215.6
Tb	Tb	160	298.6
Tb	Tb	160	879.4
Tb	Tb	160	962.3
Tb	Tb	160	965.1
Tb	Tb	160	966.2
Tb	Tb	160	1178
Tb	Tb	160	1199.9
Tb	Tb	160	1271.9
Tb	Tb	160	1312.1
