620.4	Ag	2.8	250D
621.2	I	~2.0	2.28H
621.9	Ru	9.8	372D
628.1	Rh	5.5	207D
628.1	Rh	8.5	~2.9Y
630.3	I	13.8	2.28H
631.3	Rh	56.0	~2.9Y
635.9	Sb	11.3	2.73Y
637.0	I	7.3	8.04D
645.9	Sb	7.4	60.2D
650.6	I	2.7	2.28H
657.8	Ag	94.6	250D
661.7	Cs	85.2	30.0Y
665.4	Bi	1.6	Long
667.7	I	98.7	2.28H
669.9	I	4.9	2.28H
671.4	Sb	1.8	2.73Y
671.6	I	5.2	2.28H
673.9	Kr	1.9	76.3M
677.6	Ag	10.4	250D
687.0	Ag	6.4	250D
692.4	Rh	1.8	~2.9Y
692.5	Eu	1.7	8.8Y
695.6	Rh	2.7	~2.9Y
696.5	Ce	1.3	285D
697.6	Rh	45.7	~2.9Y
706.7	Ag	16.4	250D
709.3	Sb	1.4	60.2D
713.8	Sb	2.3	60.2D
722.8	Sb	10.9	60.2D
722.9	I	1.8	8.04D
723.4	Eu	19.7	8.8Y
724.2	Zr	44.1	64.0D
727.0	I	5.4	2.28H
727.3	Bi	6.7	Long
728.7	I	1.1	2.28H
739.5	Mo	12.1	65.9H
744.3	Ag	4.7	250D
751.7	La	4.3	40.3H
755.3	Ac	1.3	Long
756.7	Zr	54.5	64.0D
756.8	Eu	4.3	8.8Y
763.1	Tl	0.6	Long
763.9	Ag	22.3	250D
765.8	Nb	99.8	35.0D
766.9	Rh	34.0	~2.9Y
768.4	Bi	5.0	Long
772.3	Ac	1.1	Long
772.7	I	76.2	2.28H
777.9	Mo	4.4	65.9H
778.9	Eu	13.0	13.3Y
780.1	I	1.2	2.28H
785.5	Bi	1.1	Long
786.4	Bi	0.3	Long
794.8	Ac	4.6	Long
795.8	Cs	85.4	2.06Y
802.0	Cs	8.7	2.06Y
806.2	Bi	1.2	Long
809.8	I	2.9	2.28H
810.8	Co	99.5	70.9D
812.3	I	5.6	2.28H
815.8	La	23.6	40.3H
818.0	Ag	7.3	250D
818.6	Cs	99.8	13.2D
830.6	Ac	0.6	Long
834.8	Mn	100.0	312.2D
834.9	Kr	13.0	2.84H
835.6	Ac	1.7	Long
840.4	Ac	0.9	Long
845.5	Kr	7.3	76.3M
860.3	Tl	4.3	Long
867.4	Eu	4.2	13.3Y
867.8	La	5.6	40.3H
871.7	Cs	5.1	32.2M
873.2	Eu	11.5	8.8Y
877.2	I	1.1	2.28H
884.7	Ag	72.7	250D
