Y93   266.9     6.9     606  m
Y93   947.1     2.0     606  m
Y93   1917.8    1.4     606  m
NB94  702.6   100.0   20300  y
NB94  871.1   100.0   20300  y
Y94   381.6      2.0     19  m
Y94   550.9      4.9     19  m
Y94   752.6      1.4     19  m
Y94   918.8      56.0    19  m
Y94   1138.9     6.0     19  m
Y94   1671.4     2.5     19  m
NB95  765.8      99.8    35  d
NB95m 235.7      25.0   519  m
ZR95  724.2      43.7    64  d
ZR95  756.7      55.3    64  d
NB96  490.0      28.2    23  h
NB96  568.9      55.7    23  h
NB96  778.2      96.8    23  h
NB96  849.9      20.7    23  h
NB96  1091.3     49.4    23  h
NB96  1200.2     20.0    23  h
TC96  778.2      99.8   4.3  d
TC96  812.5      82.0   4.3  d
TC96  849.9      98.0   4.3  d
TC96  1126.8     15.2   4.3  d
NB97  657.9      98.1    72  m
NB97  1024.5     1.1     72  m
ZR97  254.1      1.3     17  h
ZR97  355.4      2.3     17  h
ZR97  507.6      5.3     17  h
ZR97  602.5      1.4     17  h
ZR97  743.4     92.8     17  h
ZR97  1021.3     1.2     17  h
ZR97  1747.0     2.6     17  h
ZR97  1362.7     1.4     17  h
ZR97  1750.5     1.4     17  h
MO99  140.5     88.7     66  h
MO99  181.1      6.2     66  h
MO99  366.4      1.4     66  h
MO99  739.6      12.8    66  h
MO99  778.0      4.5     66  h
TC99m 140.5      89.1     6  h
RU103 497.1      89.0    39  d
RU103 610.3       5.6    39  d
RH105 306.1     5.1  2121.6  m
RH105 318.9    19.2  2121.6  m
RU106 621.8     9.8  368.2   d
RU106 1050.5    1.7  368.2   d
CD109 88.0    3.7    464     d
AG110m 446.8  3.6    359784  m
AG110m 620.3  2.8    359784  m
AG110m 657.7  94.4   359784  m
AG110m 677.6   10.7  359784  m
AG110m 687.0   6.5   359784  m
AG110m 706.7   16.7  359784  m
AG110m 744.3  4.6    359784  m
AG110m 763.9  22.3   359784  m
AG110m 818.0  7.3    359784  m
AG110m 884.7  72.6   359784  m
AG110m 937.5  34.2   359784  m
AG110m 1384.3  24.3  359784  m
AG110m 1475.8   4.0  359784  m
AG110m 1505.0   13.1 359784  m
AG110m 1562.3   1.2  359784  m
SN113  255.1    1.9   115.1  d
SN113  391.7    64.9  115.1  d
SB122  563.9    70.6    2.7  d
